page_id,Price Info?,Sold Unit,# Rotation,WF,$ / g Fiber,total_fiber_g,$ / lb,g Fiber / 100 Calories,Vol (fl oz),vol,Weight (oz),Price Ledger,$ / oz,fat_monounsat_g,Plant,Nutritional Sanity,serving unit,Amount Needed,weight_unit,Remove,fat_sat_g,density,Clear,fat_unsat_g,Quantity Unit,cholesterol_mg,Vol (gallon),Section,Cal. Difference,$ / g Protein,Add,$ / cup,serving_size_g,g Protein / 100 Calories,Vol (tsp),Complete,$ / g Carbs,serving_size_mL,density_unit,Weight (g),-1,Recipes Used In,ID,weight,price,# Recipes,% Difference,density_mass,Nuke,Chosen Label,total_carbs_g,$ / g,vol_unit,total_fat_g,$ / tsp,total_sugar_g,serving size,density_vol,total_servings,density (g/mL),Magnitude,Vegan,🧮 Ingredient Amounts,Cuisines,Label Log,total_protein_g,$ / 100 Calories,Paleo,Label,$ / tbsp,Avg. Weight / Unit (g),Last edited by,# Cuisines,Supplier,Amount Unit,Vegetarian,Gluten Free,Vol (tbsp),Vol (mL),$ / qty,Recipes,Step Value,qty,Weight (lbs),calories,sodium_mg,serving_size_qty,Sold Unit Override,Keto,$ / g Fat,+1,Last edited time,fat_polyunsat_g,Vol (cups),Ingredient
2730e167-2c82-8097-b5d6-e0a617d83d71,,bottle,,"GEKKEIKAN Traditional Junmai Sake, 750 ML",,,,,,750.0,,,,,Rice,,,0,,,,,,,Unit,,,Alcohol,,,,,,,,,,,,,,,,,7.99,,,,,,,,mL,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,1.0,1.0,,,,,,,,,,,,Sake
2550e167-2c82-808c-871b-f21c9dcc8b5a,,pound,,Ground Veal,,,,,,,,,,,,,,0,lbs,,,,,,lbs,,,Meat,,,,,,,,,,,,,,,,1.0,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eataly,,,,,,,,1.0,1.0,,,,,,,,,,,,Ground Veal
2540e167-2c82-809f-8c35-c12b6dc6d314,,bag,,365WFM OG THMP SDLSS RSN,,1.0,,,,,,,,0.0,Grapes,,cup,0,oz,,0.0,40.0,,0.0,Unit,0.0,,Pantry,,,,,,,,,,,g / cup,,,,,8.0,4.69,,,,,,32.0,,,0.0,,24.0,0.25,,,,,Yes,,,,1.0,,Yes,,,,,,,,Yes,Yes,,,,,1.0,1.0,,120.0,0.0,,bag,No,,,,0.0,,Raisins
2530e167-2c82-8064-a43f-e2c27f984fef,,loin,,ATLANTIC COD LOIN,,,,,,,,,,,,,,0,,,,,,,lbs,,,Meat,,,,,,,,,,,,,,,,,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,1.0,1.0,,,,,,,,,,,,Atlantic Cod
2530e167-2c82-8006-922d-d7da9e67fa04,,bag,,,,,,,,,,,,,"Arugula, Frisee, Kale, Lettuce, Mizuna, Radicchio, Spinach, Swiss Chard",,,0,,,,,,,Unit,,,Produce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,1.0,1.0,,,,,,,,,,,,Spinach and Greens Mix (Whole Foods)
2510e167-2c82-80ae-a66b-c7f810d8b10c,,fillet,,,,,,,,,,,,,,,,0,,,,,,,,,,Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,,,,,,,,,,,,,,Salt Cod
2360e167-2c82-8089-862c-d5e4542b5be8,,bunch,,OG GREEN CHARD,,,,,,,,,,,Swiss Chard,,,0,,,,,,,Unit,,,Produce,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,1.0,1.0,,,,,,,,,,,,Swiss Chard
2360e167-2c82-80e9-9e94-cfdc585e14fd,,tub,,,,0.0,,,,,,,,0.0,,,tbsp,0,oz,,3.5,14.0,,1.5,Unit,0.0,,Dairy,,,,,,,,,,,g / tbsp,,,,,8.0,6.19,,,,,,3.0,,,5.0,,1.0,2.0,,,,,Yes,,,,1.0,,No,,,,,,Whole Foods,,Yes,Yes,,,,,1.0,1.0,,50.0,180.0,,tub,Yes,,,,0.0,,Labneh
2360e167-2c82-802e-94bf-d21a9ba51021,,bag,,BRM OG FARRO,,5.0,,,,,,,,1.0,Farro,,cup,0,oz,,0.0,208.0,,0.0,Unit,0.0,,Pantry,,,,,,,,,,,g / cup,,,,,24.0,7.49,,,,,,38.0,,,1.0,,0.0,0.25,,,,,Yes,,,,6.0,,No,,,,,,Whole Foods,,Yes,No,,,,,1.0,1.0,,190.0,0.0,,bag,No,,,,0.0,,Farro
2340e167-2c82-802d-9831-c508afab70f2,,bundle,,OG RED DANDELION GRNS,,2.0,,,,,,,,0.0,Dandelion,,g,0,,,0.0,,,0.0,Unit,0.0,,Produce,,,,,,,,,,,,,,,,,2.99,,,,,,4.0,,,0.0,,0.0,55.0,,,,,Y,,,,1.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,1.0,,1.0,3.0,,,Y,,,,0.0,,Dandelion Greens
